Trường ,Ma Truong,Diện tích đất đai(m2),Tổng diện tích giảng đường,"Thư viện (Diện tích, Số sách )",So sach ,"Ký túc xá(diện tích, số phòng )",so phong,Diện tích sân vận động
Đại Học Kinh Tế -Tài Chính TPHCM,KTC,5.69,4434,565,6110,,,
Đại Học Công Đoàn,LDA,29.1,14656,2138,,15764,380,3287
Đại Học Mỏ Địa Chất,MDA,4.16,28437,1540,,15972,276,
Viện Đại Học Mở Hà Nội,MHN,1.25,11644.55,590.78,,,,
Đại Học Mỹ Thuật Công Nghiệp,MTC,1.77,5256,198,,576,32,
Đại Học Mỹ Thuật Việt Nam,MTH,1.02,7441.8,493.8,,1507,24,
Đại Học Xây Dựng Miền Tây,MTU,11,20446,800,,4120,116,1880
Đại Học Ngoại Thương,NTH,8.21,33478,3773,,9081,149,4000
Đại Học Nguyễn Tất Thành,NTT,9.45,41327,4814,,5112,300,
Học Viện Âm Nhạc Quốc Gia Việt Nam,NVH,1.96,3959,1781,53300,,,
Đại Học Dầu Khí Việt Nam,PVU,15,1430,1940,,1520,38,2000
Đại Học Kinh Tế – Đại Học Quốc Gia Hà Nội,QHE,6.96,2560,6990,,47287,1180,2306
Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,QHF,4.68,9212,1190,,47287,1180,2306
Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,QHI,6.96,3399,1190,,47287,1180,2306
Khoa Luật – Đại Học Quốc Gia Hà Nội,QHL,1.29,1704,1190,,47287,1180,2306
Đại Học Giáo Dục - Đại học Quốc Gia Hà Nội,QHS,1.8,2597,200,,,,
Đại Học Khoa Học Tự Nhiên – Đại Học Quốc Gia Hà Nội,QHT,2.53,5780,425,,,,
Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia Hà Nội,QHX,1.46,15912,,,,,
Đại Học Bách Khoa – Đại Học Quốc Gia TPHCM,,41.23,26553,2575,,30950.32,347,6121
Đại Học Công Nghệ Thông Tin – Đại Học Quốc Gia TPHCM,,13.39,4855,1266,,,,3500
Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,,11.52,5874,1435,,,,582
Đại Học Khoa Học Tự Nhiên – Đại Học Quốc Gia TPHCM,,34.01,30823,2180,,2968,110,10000
Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia TPHCM,,21.5,34824,2195,,,,
Đại Học Sân Khấu Điện Ảnh,,2,6682,491,,5352,223,
Đại Học Sư Phạm Kỹ Thuật Hưng Yên,,38,73.69,2.8,,9.81,,
Đại Học Sư Phạm Kỹ Thuật Vinh,,17.96,8985.18,975.24,,2937.6,,
Đại Học Đồng Tháp,,11.49,12755.83,2087,,,,
Đại Học An Giang,,44.77,,4987,141590,,,
Đại Học Cần Thơ,,218.54,57185,12276,,77259,1391,4965
Đại Học Thể Dục Thể Thao Bắc Ninh,,29.3,3000,1475,8374,18608,390,98719
Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội,,14.3,6258,1280,16320,15078,294,26740
Đại Học Đà Lạt,,34.33,17055,8400,,18123,332,131745
Đại học Thủ Dầu Một,,64.3,18784,992,,,,
Đại Học Thể Dục Thể Thao TPHCM,,12.1,7450,1463,,4948,,
Đại Học Hải Phòng,,28.78,24248,3183,19528,33911,531,10762
Đại Học Hùng Vương,,66.66,12747,3200,8314,21330,353,29269
Đại Học Thủy Lợi ,,72.67,36006,4831,,71054,1204,30010
Đại Học Thương Mại,,8.37,26312,4434,32190,11808,236,10980
Đại học Tân Trào,,57.47,9.85,600,,7606,,
Đại Học Nha Trang,,51.6,19344,3927,40000,25806,464,13813
Đại Học Thể DụcThể Thao Đà Nẵng,,44.4,3664,688,2849,,,
Đại Học Tiền Giang,,4.3,16047,671,,,,
Trường Sĩ Quan Thông Tin - Hệ Quân sự - Đại Học Thông Tin Liên Lạc,,,,,,,,
Đại Học Tây Nguyên,,27.3,8175,3047,,17760,444,8100
ĐH Tân Tạo,,123.59,1028,800,,10574,125,21461
Đại Học Y Khoa Phạm Ngọc Thạch,,2.1,4810,424,,1560,22,875
Đại Học Kinh Bắc,,29.35,19800,1300,,,200,2000
Đại Học Việt Đức,,4.6,2463,190,,6768,188,
Đại Học Công Nghiệp Việt Hung,,10,243177,4934,,10960,216,7600
Đại Học Văn Hóa Hà Nội,,2.1,8090,800,,4619,116,400
Đại Học Văn Hóa TPHCM,,11.65,5908,963,,21840,276,
Đại Học Công Nghiệp Việt Trì,,8,15323,2457,,2500,96,27878
Đại Học Xây Dựng Hà Nội,,26.29,24859,6000,233306,8787,154,1403
Đại Học Xây Dựng Miền Trung,,17.8,9590,724,,2320,50,6400
Đại Học Y Dược Cần Thơ,,32,42264,784,7588,,,13362
Đại học Kỹ thuật Y Dược Đà Nẵng,,6.21,5773,1100,15000,3168,72,
Đại Học Y Dược TPHCM,,7.82,7822,788,,11016,347,3094
Đại Học Y Hải Phòng,,52.11,12972,1176,,1880,92,
Đại Học Y Tế Công Cộng,,5.7,21648,2000,,8910,,
